Algoritmo,Silh,Calinski-Harabasz,Parámetro,N. clusters
DBScan,-0.38,88.15,0.05,16
DBScan,-0.27,276.87,0.10,20
DBScan,-0.04,406.80,0.15,8
DBScan,0.25,78.07,0.20,2
DBScan,0.34,32.17,0.25,2
DBScan,0.42,18.39,0.30,2
DBScan,0.41,11.63,0.35,2
DBScan,0.45,5.21,0.40,2
DBScan,0.45,5.21,0.45,2
KMeans,0.30,5187.60,2.00,2
KMeans,0.25,4091.23,3.00,3
KMeans,0.25,3774.03,4.00,4
KMeans,0.24,3450.01,5.00,5
KMeans,0.23,3266.06,6.00,6
KMeans,0.22,3061.12,7.00,7
KMeans,0.22,2900.65,8.00,8
KMeans,0.22,2779.79,9.00,9
Ward,0.26,3982.79,2.00,2
Ward,0.19,3312.62,3.00,3
Ward,0.20,3135.38,4.00,4
Ward,0.18,2726.92,5.00,5
Ward,0.18,2525.44,6.00,6
Ward,0.18,2421.52,7.00,7
Ward,0.16,2267.28,8.00,8
Ward,0.15,2162.56,9.00,9
Birch,0.26,4175.63,2.00,2
Birch,0.18,2883.66,3.00,3
Birch,0.18,2430.71,4.00,4
Birch,0.14,2305.18,5.00,5
Birch,0.14,2175.27,6.00,6
Birch,0.14,1985.76,7.00,7
Birch,0.13,2005.72,8.00,8
Birch,0.12,1899.72,9.00,9
